,Name,Team,BYE,Pos,ADP,FantasyPros,NFLRank,NFLvADP,NFLvFP,Round,Pick,,,,,,,,,,,,,,
,James White,NE,6,RB30,110,79,84,-0.24,0.06,,84,,,,,,,,,,,,,,
,Drew Brees,NO,6,QB10,81,86,85,0.05,-0.01,8,85,,,,,,,,,,,,,,
,Tarik Cohen,CHI,11,RB31,128,83,86,-0.33,0.04,,86,,,,,,,,,,,,,,
,Matt Ryan,ATL,10,QB8,84,77,87,0.04,0.13,,87,,,,,,,,,,,,,,
,Marvin Jones,DET,5,WR34,97,76,88,-0.09,0.16,,88,,,,,,,,,,,,,,
,Deebo Samuel,SF,11,WR46,67,111,89,0.33,-0.20,,89,,,,,,,,,,,,,,
,Austin Hooper,CLE,9,TE10,94,105,90,-0.04,-0.14,,90,,,,,,,,,,,,,,
,Ke'Shawn Vaughn,TB,13,RB41,95,115,91,-0.04,-0.21,,91,,,,,,,,,,,,,,
,Noah Fant,DEN,8,TE15,105,125,92,-0.12,-0.26,,92,,,,,,,,,,,,,,
,Ronald Jones II,TB,13,RB33,86,88,93,0.08,0.06,,93,,,,,,,,,,,,,,
,Jordan Howard,MIA,11,RB35,91,98,94,0.03,-0.04,,94,,,,,,,,,,,,,,
,Aaron Rodgers,GB,5,QB13,75,97,95,0.27,-0.02,,95,,,,,,,,,,,,,,
,Sony Michel,NE,6,RB38,83,107,96,0.16,-0.10,,96,,,,,,,,,,,,,,
,Josh Allen,BUF,11,QB7,70,75,97,0.39,0.29,9,97,,,,,,,,,,,,,,
,John Brown,BUF,11,WR41,109,95,98,-0.10,0.03,,98,,,,,,,,,,,,,,
,Jared Cook,NO,6,TE12,93,108,99,0.06,-0.08,,99,,,,,,,,,,,,,,
,Darius Slayton,NYG,11,WR44,103,102,100,-0.03,-0.02,,100,,,,,,,,,,,,,,
,Sterling Shepard,NYG,11,WR40,120,94,101,-0.16,0.07,,101,,,,,,,,,,,,,,
,Emmanuel Sanders,NO,6,WR43,98,101,102,0.04,0.01,,102,,,,,,,,,,,,,,
,Hayden Hurst,ATL,10,TE9,133,89,103,-0.23,0.16,,103,,,,,,,,,,,,,,
,Diontae Johnson,PIT,8,WR39,114,91,105,-0.08,0.15,,104,,,,,,,,,,,,,,
,Tevin Coleman,SF,11,RB40,112,114,106,-0.05,-0.07,,105,,,,,,,,,,,,,,
,Jamison Crowder,NYJ,11,WR38,134,90,107,-0.20,0.19,,106,,,,,,,,,,,,,,
,Matthew Stafford,DET,5,QB12,104,96,108,0.04,0.13,,107,,,,,,,,,,,,,,
